-160.11,18.8,174.23,9.8,70.82,-164.74,134.69,90.0,90.0,90.0,90.0,90.0,-100.95,kick
180.0,-41.63,15.74,0.0,90.0,90.0,35.11,90.0,90.0,45.67,90.0,90.0,-41.01,kick
180.0,-41.63,19.77,0.0,90.0,90.0,35.11,90.0,90.0,45.67,90.0,90.0,-41.01,kick
180.0,-41.63,19.77,0.0,90.0,90.0,35.11,90.0,90.0,45.67,90.0,-9.46,-41.01,kick
-166.68,19.75,125.54,69.34,90.0,90.0,98.86,45.0,106.23,73.09,90.0,90.0,-21.67,kick
-166.68,19.75,125.54,69.34,90.0,90.0,98.86,45.0,100.89,73.09,90.0,90.0,-21.67,kick
-166.68,19.75,125.54,69.34,90.0,90.0,98.86,45.0,100.89,73.09,90.0,98.69,-21.67,kick
-172.72,0.0,123.98,72.3,37.75,-14.04,63.43,72.53,119.74,44.59,75.26,130.52,-88.73,kick
152.7,-28.07,22.19,-21.8,24.39,145.18,53.33,68.96,119.41,34.46,90.0,90.0,-56.89,kick
152.7,-28.07,22.19,-21.8,24.39,145.18,53.33,68.96,119.41,34.46,90.0,-0.75,-56.89,kick
160.82,-35.84,55.62,25.6,36.35,38.37,57.82,26.57,95.06,33.97,90.0,90.0,-43.53,kick
-90.0,82.87,90.0,90.0,123.31,164.58,90.0,90.0,90.0,90.0,90.0,90.0,-142.25,kick
-90.0,82.87,90.0,90.0,123.31,164.58,90.0,90.0,90.0,90.0,90.0,49.33,-142.25,kick
-90.0,82.87,90.0,90.0,123.31,164.58,90.0,90.0,90.0,90.0,90.0,143.71,-142.25,kick
178.98,0.0,97.82,0.0,36.03,-9.87,68.57,61.03,122.59,45.41,75.75,132.55,-82.57,kick
159.65,-17.47,90.0,90.0,90.0,90.0,90.0,90.0,90.0,20.05,90.0,90.0,-61.03,kick
159.65,-17.47,90.0,90.0,90.0,90.0,90.0,90.0,97.25,20.05,90.0,90.0,-61.03,kick
172.65,0.0,99.87,116.57,90.0,90.0,90.0,90.0,90.0,69.59,164.16,124.11,-158.84,kick
172.65,0.0,99.87,116.57,90.0,90.0,90.0,90.0,78.79,69.59,164.16,124.11,-158.84,kick
169.16,-19.75,134.09,-15.71,9.56,171.03,36.66,102.7,48.43,14.79,90.0,90.0,-155.7,kick
180.0,19.18,165.75,180.0,67.31,114.19,129.54,170.34,167.58,101.59,116.08,38.16,-155.43,kick
174.37,0.0,117.86,160.11,75.68,147.65,111.89,173.84,90.0,90.0,90.0,90.0,-139.6,kick
35.71,-142.52,66.11,90.0,-177.06,90.0,90.0,90.0,90.0,90.0,90.0,90.0,-15.26,kick
35.71,-142.52,66.11,37.75,-177.06,90.0,90.0,90.0,90.0,90.0,90.0,90.0,-15.26,kick
35.71,-142.52,66.11,37.75,-177.06,90.0,90.0,90.0,90.0,90.0,90.0,-8.43,-15.26,kick
-170.54,8.58,123.5,75.58,90.0,90.0,90.0,90.0,90.0,74.17,90.0,90.0,-23.84,kick
-174.12,-1.02,90.0,50.53,90.0,90.0,80.41,100.3,90.0,49.81,27.25,24.39,-29.9,kick
-174.12,-1.02,90.0,50.53,90.0,90.0,80.41,100.3,107.45,49.81,27.25,24.39,-29.9,kick
-174.12,-1.02,90.0,50.53,90.0,90.0,80.41,100.3,107.45,49.81,27.25,106.63,-29.9,kick
164.05,-7.13,118.61,36.49,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,-28.14,kick
